"userName","numberOfTweets","url"
"jmsunico",25,"https://twitter.com/jmsunico"
"MarketersColleg",25,"https://twitter.com/MarketersColleg"
"whymandesign",25,"https://twitter.com/whymandesign"
"marya1986",25,"https://twitter.com/marya1986"
"AshlynThomas559",25,"https://twitter.com/AshlynThomas559"
"quantumesque",25,"https://twitter.com/quantumesque"
"shawnrog",25,"https://twitter.com/shawnrog"
"fortivus",25,"https://twitter.com/fortivus"
"kathham",25,"https://twitter.com/kathham"
"WeLinkTalent",25,"https://twitter.com/WeLinkTalent"
"LukeScuba",25,"https://twitter.com/LukeScuba"
"ThoHeller",25,"https://twitter.com/ThoHeller"
"SPIRE_EU",25,"https://twitter.com/SPIRE_EU"
"machine_ml",25,"https://twitter.com/machine_ml"
"ashish75_in",25,"https://twitter.com/ashish75_in"
"welcomedwelling",25,"https://twitter.com/welcomedwelling"
"hermitaurous",25,"https://twitter.com/hermitaurous"
"trendquest",25,"https://twitter.com/trendquest"
"nordicinst",25,"https://twitter.com/nordicinst"
"GrowthHackTalks",25,"https://twitter.com/GrowthHackTalks"
"ScienceJobs2",25,"https://twitter.com/ScienceJobs2"
"johncyclejohn",24,"https://twitter.com/johncyclejohn"
"bbekele",24,"https://twitter.com/bbekele"
"ktkjellerup",24,"https://twitter.com/ktkjellerup"
"WalterMn",24,"https://twitter.com/WalterMn"
"thechangeman",24,"https://twitter.com/thechangeman"
"arturotpmntr",24,"https://twitter.com/arturotpmntr"
"johnnorra1",24,"https://twitter.com/johnnorra1"
"SergeRubinstein",24,"https://twitter.com/SergeRubinstein"
"YessicaMG1",24,"https://twitter.com/YessicaMG1"
"seanpkearney",24,"https://twitter.com/seanpkearney"
"rfcm83",24,"https://twitter.com/rfcm83"
"njssnjss",24,"https://twitter.com/njssnjss"
"Monochrometor",24,"https://twitter.com/Monochrometor"
"BoringData",24,"https://twitter.com/BoringData"
"v4vix",24,"https://twitter.com/v4vix"
"cellinip",24,"https://twitter.com/cellinip"
"ozdarren",24,"https://twitter.com/ozdarren"
"flpires",24,"https://twitter.com/flpires"
"steveolenski",24,"https://twitter.com/steveolenski"
"lilachbullock",24,"https://twitter.com/lilachbullock"
"rrkaranjgaokar",24,"https://twitter.com/rrkaranjgaokar"
"pamifloshop",24,"https://twitter.com/pamifloshop"
"sbepstein",24,"https://twitter.com/sbepstein"
"joelucas",24,"https://twitter.com/joelucas"
"pm_girl",24,"https://twitter.com/pm_girl"
"Rom_Duck",24,"https://twitter.com/Rom_Duck"
"EskilCo",24,"https://twitter.com/EskilCo"
"dcapuan0",24,"https://twitter.com/dcapuan0"
"BillyBotClerk",23,"https://twitter.com/BillyBotClerk"
"AudioLabHI",23,"https://twitter.com/AudioLabHI"
"pmalik1",23,"https://twitter.com/pmalik1"
"aiticker",23,"https://twitter.com/aiticker"
"akhiphotography",23,"https://twitter.com/akhiphotography"
"nkmalani",23,"https://twitter.com/nkmalani"
"GRLSTEM",23,"https://twitter.com/GRLSTEM"
"ARNE_Solutions",23,"https://twitter.com/ARNE_Solutions"
"viniciusalmeida",23,"https://twitter.com/viniciusalmeida"
"dimitrakont",23,"https://twitter.com/dimitrakont"
"gonbee",23,"https://twitter.com/gonbee"
"calomas",23,"https://twitter.com/calomas"
"AI4Enterprise",23,"https://twitter.com/AI4Enterprise"
"mmmgaber",23,"https://twitter.com/mmmgaber"
"KomuraTakuro",23,"https://twitter.com/KomuraTakuro"
"flvventurini",23,"https://twitter.com/flvventurini"
"diggernautcom",23,"https://twitter.com/diggernautcom"
"stockfjm",23,"https://twitter.com/stockfjm"
"DT",23,"https://twitter.com/DT"
"CN20",23,"https://twitter.com/CN20"
"DanyDeGrave",23,"https://twitter.com/DanyDeGrave"
"CircleBackInc",23,"https://twitter.com/CircleBackInc"
"rinkidhiman771",23,"https://twitter.com/rinkidhiman771"
"d_jackals",23,"https://twitter.com/d_jackals"
"KLlewellin",23,"https://twitter.com/KLlewellin"
"forwardsprint",23,"https://twitter.com/forwardsprint"
"AB_Joseph",23,"https://twitter.com/AB_Joseph"
"Panzerfrank",23,"https://twitter.com/Panzerfrank"
"FreshThinkingfo",23,"https://twitter.com/FreshThinkingfo"
"zeitenwende007",23,"https://twitter.com/zeitenwende007"
"runnerrobs",23,"https://twitter.com/runnerrobs"
"TheAnonBuzz",23,"https://twitter.com/TheAnonBuzz"
"rodrigo_blogs",23,"https://twitter.com/rodrigo_blogs"
"GamatechGroup",23,"https://twitter.com/GamatechGroup"
"basementlab_dk",23,"https://twitter.com/basementlab_dk"
"AlexanderSchir1",23,"https://twitter.com/AlexanderSchir1"
"cafrancavilla",23,"https://twitter.com/cafrancavilla"
"sudhanshu9655",23,"https://twitter.com/sudhanshu9655"
"VacoSeattle",23,"https://twitter.com/VacoSeattle"
"jpblog_techno",23,"https://twitter.com/jpblog_techno"
"shannonjohlic",23,"https://twitter.com/shannonjohlic"
"pkokki",23,"https://twitter.com/pkokki"
"futuristpaul",23,"https://twitter.com/futuristpaul"
"dinisguarda",23,"https://twitter.com/dinisguarda"
"redsand74",23,"https://twitter.com/redsand74"
"TechProGeek",23,"https://twitter.com/TechProGeek"
"PekkaPuhakka",23,"https://twitter.com/PekkaPuhakka"
"robertconnely",23,"https://twitter.com/robertconnely"
"BigDataDaily",23,"https://twitter.com/BigDataDaily"
