"author","rank","avgSentiment","isOrganisation"
"thenerdscloset",0.4342504080205176,0,true
"energyetc",0.42795523432035437,1.8571428571428572,true
"ITRecruitment",0.4187456283515971,0,true
"TechsInaSec",0.41827931918862205,2,true
"CashTechNews",0.4130333411051527,0.5,true
"itfdetectives",0.4105852179995337,1.8823529411764706,true
"UK_CIF",0.402075075775239,1.3333333333333333,true
"TheWriteCure",0.4002098391233388,1.5869565217391304,true
"HRVirginia1",0.39811144788995106,2,true
"DigitalLON",0.3935649335509443,2.08,true
"The_CDA",0.38505479132664955,1,true
"OneSysLtd",0.38225693634879926,0.5,true
"BrightPatternUS",0.38062485427838655,2,true
"EDUCATEldn",0.379925390533924,0.75,true
"battlefinmiami",0.36512007460946605,2,true
"secureslinger",0.3638377244112847,2,true
"amruthasuri",0.36103986943343436,1.24,true
"NIFTIT",0.35882490090930286,0,true
"RankVisibility",0.3559104686407088,2.4,true
"SCIP",0.3476334809979016,2,true
"ediscoverygroup",0.3422709256236885,1,true
"exchangecomms",0.3408719981347633,2,true
"vio1965",0.3407554208440196,1.4,true
"LandisComm",0.34028911168104453,0.5714285714285714,true
"pimonline",0.3387736069013756,2,true
"TheCircleSpaSE1",0.3337607833993938,2,true
"DroneConX1",0.33049661925856844,1.5555555555555556,true
"HarveyNashGroup",0.32291909536022384,0,true
"GoWebSTO",0.31930519934716717,0.6666666666666666,true
"netweight_",0.3142923758451854,0.4,true
