userName,numberOfTweets,url,isOrg,
kkanakas,30,https://twitter.com/kkanakas,0,
RickKing16,30,https://twitter.com/RickKing16,0,
jobsinai1,29,https://twitter.com/jobsinai1,NA,account has been blocked
YottaDataTech,29,https://twitter.com/YottaDataTech,1,
sphoodnet,29,https://twitter.com/sphoodnet,0,
ecotwist,29,https://twitter.com/ecotwist,0,
julienfaury,29,https://twitter.com/julienfaury,0,
FrostAndFrostUS,29,https://twitter.com/FrostAndFrostUS,1,
dgskywalker,28,https://twitter.com/dgskywalker,0,
AmanyAtef,28,https://twitter.com/AmanyAtef,0,
arcticflea,28,https://twitter.com/arcticflea,0,
tchncllyspkng,28,https://twitter.com/tchncllyspkng,0,
kimberl87759219,28,https://twitter.com/kimberl87759219,0,
cyber_coleman,28,https://twitter.com/cyber_coleman,NA,account has been blocked
TheDailyCrunch2,28,https://twitter.com/TheDailyCrunch2,1,
hyounpark,28,https://twitter.com/hyounpark,0,
stefkotwit,28,https://twitter.com/stefkotwit,0,
logisticsunit,28,https://twitter.com/logisticsunit,1,
LeeBogner,28,https://twitter.com/LeeBogner,0,
PHYSECTECH,28,https://twitter.com/PHYSECTECH,0,
echovoicesearch,28,https://twitter.com/echovoicesearch,0,
mhajim_central,27,https://twitter.com/mhajim_central,1,
goering_randy,27,https://twitter.com/goering_randy,0,
AlishaDamco,27,https://twitter.com/AlishaDamco,0,
Flavio58,27,https://twitter.com/Flavio58,0,
workonline44,27,https://twitter.com/workonline44,1,
NexLP_Inc,27,https://twitter.com/NexLP_Inc,1,
MichaelSDeVries,27,https://twitter.com/MichaelSDeVries,0,
AIofTheDay,27,https://twitter.com/AIofTheDay,1,
doctortetteh,27,https://twitter.com/doctortetteh,1,
ClementCharles,27,https://twitter.com/ClementCharles,0,
SocialFlu,27,https://twitter.com/SocialFlu,0,
wilsstar007,26,https://twitter.com/wilsstar007,0,
katsnelson,26,https://twitter.com/katsnelson,0,
kurt_cagle,26,https://twitter.com/kurt_cagle,0,
bomeshii46,26,https://twitter.com/bomeshii46,NA,
ip4info,26,https://twitter.com/ip4info,0,
thehamidyasir,26,https://twitter.com/thehamidyasir,0,
tftb,26,https://twitter.com/tftb,0,
Ypifany_llc,26,https://twitter.com/Ypifany_llc,0,
jeffemmans,26,https://twitter.com/jeffemmans,0,
vio1965,26,https://twitter.com/vio1965,1,
secunoid,26,https://twitter.com/secunoid,0,
Atlanta_SEO_Pro,26,https://twitter.com/Atlanta_SEO_Pro,1,
AmancioBouza,26,https://twitter.com/AmancioBouza,0,
mzeid4real,26,https://twitter.com/mzeid4real,0,
Riaan_Kriel,26,https://twitter.com/Riaan_Kriel,0,
girardmaxime33,26,https://twitter.com/girardmaxime33,0,
jmsunico,25,https://twitter.com/jmsunico,0,
MarketersColleg,25,https://twitter.com/MarketersColleg,0,
whymandesign,25,https://twitter.com/whymandesign,0,
marya1986,25,https://twitter.com/marya1986,0,
AshlynThomas559,25,https://twitter.com/AshlynThomas559,0,
quantumesque,25,https://twitter.com/quantumesque,1,
shawnrog,25,https://twitter.com/shawnrog,0,
fortivus,25,https://twitter.com/fortivus,1,
kathham,25,https://twitter.com/kathham,0,
WeLinkTalent,25,https://twitter.com/WeLinkTalent,1,
LukeScuba,25,https://twitter.com/LukeScuba,0,
ThoHeller,25,https://twitter.com/ThoHeller,0,
SPIRE_EU,25,https://twitter.com/SPIRE_EU,1,
machine_ml,25,https://twitter.com/machine_ml,0,
ashish75_in,25,https://twitter.com/ashish75_in,0,
welcomedwelling,25,https://twitter.com/welcomedwelling,1,
hermitaurous,25,https://twitter.com/hermitaurous,1,
trendquest,25,https://twitter.com/trendquest,1,
nordicinst,25,https://twitter.com/nordicinst,1,
GrowthHackTalks,25,https://twitter.com/GrowthHackTalks,1,
ScienceJobs2,25,https://twitter.com/ScienceJobs2,0,
johncyclejohn,24,https://twitter.com/johncyclejohn,1,
bbekele,24,https://twitter.com/bbekele,0,
ktkjellerup,24,https://twitter.com/ktkjellerup,0,
WalterMn,24,https://twitter.com/WalterMn,0,
thechangeman,24,https://twitter.com/thechangeman,0,
arturotpmntr,24,https://twitter.com/arturotpmntr,1,
johnnorra1,24,https://twitter.com/johnnorra1,0,
SergeRubinstein,24,https://twitter.com/SergeRubinstein,0,
YessicaMG1,24,https://twitter.com/YessicaMG1,0,
seanpkearney,24,https://twitter.com/seanpkearney,0,
rfcm83,24,https://twitter.com/rfcm83,0,
njssnjss,24,https://twitter.com/njssnjss,0,
Monochrometor,24,https://twitter.com/Monochrometor,0,
BoringData,24,https://twitter.com/BoringData,0,
v4vix,24,https://twitter.com/v4vix,0,
cellinip,24,https://twitter.com/cellinip,0,
ozdarren,24,https://twitter.com/ozdarren,0,
flpires,24,https://twitter.com/flpires,0,
steveolenski,24,https://twitter.com/steveolenski,0,
lilachbullock,24,https://twitter.com/lilachbullock,0,
rrkaranjgaokar,24,https://twitter.com/rrkaranjgaokar,0,
pamifloshop,24,https://twitter.com/pamifloshop,1,
sbepstein,24,https://twitter.com/sbepstein,0,
joelucas,24,https://twitter.com/joelucas,0,
